model,context_size_ms,macs,gmacs,pretty_macs
test,0,0,0,0
l-conv-sym,3000,7369047776000,7369.047776,7.37T
l-conv-sym,2950,7246327776000,7246.327776,7.25T
l-conv-sym,2900,7123607776000,7123.607776,7.12T
l-conv-sym,2850,7000887776000,7000.887776,7.00T
l-conv-sym,2800,6878167776000,6878.167776,6.88T
l-conv-sym,2750,6755447776000,6755.447776,6.76T
l-conv-sym,2700,6632727776000,6632.727776,6.63T
l-conv-sym,2650,6510007776000,6510.007776,6.51T
l-conv-sym,2600,6387287776000,6387.287776,6.39T
l-conv-sym,2550,6264567776000,6264.567776,6.26T
l-conv-sym,2500,6141847776000,6141.847776,6.14T
l-conv-sym,2450,6019127776000,6019.127776,6.02T
l-conv-sym,2400,5896407776000,5896.407776,5.90T
l-conv-sym,2350,5773687776000,5773.687776,5.77T
l-conv-sym,2300,5650967776000,5650.967776,5.65T
l-conv-sym,2250,5528247776000,5528.247776,5.53T
l-conv-sym,2200,5405527776000,5405.527776,5.41T
l-conv-sym,2150,5282807776000,5282.807776,5.28T
l-conv-sym,2100,5160087776000,5160.087776,5.16T
l-conv-sym,2050,5037367776000,5037.367776,5.04T
l-conv-sym,2000,4914647776000,4914.647776,4.91T
l-conv-sym,1950,4791927776000,4791.927776,4.79T
l-conv-sym,1900,4669207776000,4669.207776,4.67T
l-conv-sym,1850,4546487776000,4546.487776,4.55T
l-conv-sym,1800,4423767776000,4423.767776,4.42T
l-conv-sym,1750,4301047776000,4301.047776,4.30T
l-conv-sym,1700,4178327776000,4178.327776,4.18T
l-conv-sym,1650,4055607776000,4055.607776,4.06T
l-conv-sym,1600,3932887776000,3932.887776,3.93T
l-conv-sym,1550,3810167776000,3810.167776,3.81T
l-conv-sym,1500,3687447776000,3687.447776,3.69T
l-conv-sym,1450,3564727776000,3564.727776,3.56T
l-conv-sym,1400,3442007776000,3442.007776,3.44T
l-conv-sym,1350,3319287776000,3319.287776,3.32T
l-conv-sym,1300,3196567776000,3196.567776,3.20T
l-conv-sym,1250,3073847776000,3073.847776,3.07T
l-conv-sym,1200,2951127776000,2951.127776,2.95T
l-conv-sym,1150,2828407776000,2828.407776,2.83T
l-conv-sym,1100,2705687776000,2705.687776,2.71T
l-conv-sym,1050,2582967776000,2582.967776,2.58T
l-conv-sym,1000,2460247776000,2460.247776,2.46T
l-conv-sym,950,2337527776000,2337.527776,2.34T
l-conv-sym,900,2214807776000,2214.807776,2.21T
l-conv-sym,850,2092087776000,2092.087776,2.09T
l-conv-sym,800,1969367776000,1969.367776,1.97T
l-conv-sym,750,1846647776000,1846.647776,1.85T
l-conv-sym,700,1723927776000,1723.927776,1.72T
l-conv-sym,650,1601207776000,1601.207776,1.60T
l-conv-sym,600,1478487776000,1478.487776,1.48T
l-conv-sym,550,1355767776000,1355.767776,1.36T
l-conv-sym,500,1233047776000,1233.047776,1.23T
l-conv-sym,450,1110327776000,1110.327776,1.11T
l-conv-sym,400,987607776000,987.607776,987.61G
l-conv-sym,350,864887776000,864.887776,864.89G
l-conv-sym,300,742167776000,742.167776,742.17G
l-conv-sym,250,619447776000,619.447776,619.45G
l-conv-sym,200,496727776000,496.727776,496.73G
l-conv-sym,150,374007776000,374.007776,374.01G
l-conv-sym,100,251287776000,251.287776,251.29G
l-conv-sym,50,128567776000,128.567776,128.57G
l-transformer-sym,3000,10495058184000,10495.058184,10.50T
l-transformer-sym,2950,10270073184000,10270.073184,10.27T
l-transformer-sym,2900,10046788184000,10046.788184,10.05T
l-transformer-sym,2850,9825203184000,9825.203184,9.83T
l-transformer-sym,2800,9605318184000,9605.318184,9.61T
l-transformer-sym,2750,9387133184000,9387.133184,9.39T
l-transformer-sym,2700,9170648184000,9170.648184,9.17T
l-transformer-sym,2650,8955863184000,8955.863184,8.96T
l-transformer-sym,2600,8742778184000,8742.778184,8.74T
l-transformer-sym,2550,8531393184000,8531.393184,8.53T
l-transformer-sym,2500,8321708184000,8321.708184,8.32T
l-transformer-sym,2450,8113723184000,8113.723184,8.11T
l-transformer-sym,2400,7907438184000,7907.438184,7.91T
l-transformer-sym,2350,7702853184000,7702.853184,7.70T
l-transformer-sym,2300,7499968184000,7499.968184,7.50T
l-transformer-sym,2250,7298783184000,7298.783184,7.30T
l-transformer-sym,2200,7099298184000,7099.298184,7.10T
l-transformer-sym,2150,6901513184000,6901.513184,6.90T
l-transformer-sym,2100,6705428184000,6705.428184,6.71T
l-transformer-sym,2050,6511043184000,6511.043184,6.51T
